year	month	day	00:00-2:59	3:00-5:59	6:00-8:59	9:00-11:59	12:00-14:59	15:00-17:59	18:00-20:59	21:00-23:59	Sin dato	Total General
2018	10	29	1	0	1	4	4	9	1	0	2	22
2018	10	30	0	1	4	3	2	3	3	6	0	22
2018	10	31	3	2	4	8	2	5	8	16	6	54
2018	11	0	131	85	93	140	93	146	171	185	41	1085
2018	11	1	7	0	5	3	3	6	10	4	0	38
2018	11	2	2	1	2	9	3	8	3	6	1	35
2018	11	3	4	2	2	4	3	1	7	9	4	36
2018	11	4	7	3	6	6	2	2	6	13	1	46
2018	11	5	10	6	0	2	3	1	7	6	0	35
2018	11	6	2	1	1	5	6	4	1	2	2	24
2018	11	7	3	0	0	5	1	12	4	7	0	32
2018	11	8	1	2	6	5	9	1	13	7	1	45
2018	11	9	1	3	2	3	1	3	5	7	1	26
2018	11	10	2	4	4	8	3	8	8	11	0	48
2018	11	11	14	11	10	6	1	5	5	17	2	71
2018	11	12	1	6	2	7	4	4	5	3	1	33
2018	11	13	5	2	4	5	4	5	4	4	0	33
2018	11	14	4	2	0	3	2	4	1	6	0	22
2018	11	15	3	0	1	7	2	7	6	5	1	32
2018	11	16	2	5	3	1	2	7	7	5	0	32
2018	11	17	5	4	5	5	0	6	4	14	4	47
2018	11	18	14	5	7	3	3	9	6	6	1	54
2018	11	19	6	1	5	1	5	4	5	1	0	28
2018	11	20	1	1	6	2	0	4	4	5	0	23
2018	11	21	3	3	1	2	2	4	2	5	2	24
2018	11	22	3	1	1	6	4	7	4	6	3	35
2018	11	23	5	4	2	6	4	4	7	3	3	38
2018	11	24	6	3	4	6	6	4	9	5	4	47
2018	11	25	5	6	2	5	5	3	7	9	3	45
2018	11	26	5	3	3	6	3	2	7	5	4	38
2018	11	27	1	0	3	3	4	8	4	1	1	25
2018	11	28	0	2	5	2	4	4	8	6	0	31
2018	11	29	2	3	0	8	3	3	7	4	1	31
2018	11	30	7	1	1	6	1	6	5	3	1	31
2018	12	0	108	92	86	127	94	158	172	191	62	1090
2018	12	1	7	2	3	2	3	4	7	15	3	46
2018	12	2	9	7	5	5	2	8	14	10	5	65
2018	12	3	3	1	2	4	0	2	14	6	1	33
2018	12	4	3	5	3	2	2	4	4	2	2	27
2018	12	5	3	1	3	6	4	10	4	8	3	42
2018	12	6	3	0	1	5	4	4	6	3	5	31
2018	12	7	3	2	3	2	4	7	3	9	1	34
2018	12	8	4	10	3	8	3	8	19	16	3	74
2018	12	9	8	7	2	4	2	5	6	6	3	43
2018	12	10	8	3	2	3	2	7	6	4	1	36
2018	12	11	0	1	4	6	1	10	2	5	0	29
2018	12	12	4	1	4	4	5	5	5	7	0	35
2018	12	13	3	0	3	7	4	3	7	2	3	32
2018	12	14	1	1	3	3	8	4	2	3	2	27
2018	12	15	1	3	4	4	5	6	4	13	2	42
2018	12	16	13	6	7	11	6	6	8	11	7	75
2018	12	17	2	1	2	5	1	6	6	4	3	30
2018	12	18	2	2	2	8	3	8	8	2	0	35
2018	12	19	1	6	3	3	2	2	9	9	1	36
2018	12	20	1	0	5	4	4	5	3	5	3	30
2018	12	21	6	3	6	5	2	5	1	9	1	38
2018	12	22	1	2	1	0	2	2	2	6	2	18
2018	12	23	2	6	3	5	2	4	4	6	1	33
2018	12	24	2	4	1	4	6	11	0	1	3	32
2018	12	25	5	13	5	5	9	11	12	14	4	78
2018	12	26	5	2	1	3	1	1	8	4	2	27
2018	12	27	1	1	0	2	1	4	2	3	1	15
2018	12	28	0	0	4	1	3	2	3	0	0	13
2018	12	29	2	1	0	2	2	3	0	5	0	15
2018	12	30	3	1	1	3	1	1	3	3	0	16
2018	12	31	2	0	0	1	0	0	0	0	0	3
0	0	0	2877	2037	2135	3658	2883	4020	4166	4406	1137	27319
