Edad	Hombre	Mujer	Total
0-4	1	0	1
5-9	1	0	1
10-14	2	2	4
15-17	17	5	22
18-19	31	3	34
20-24	91	3	94
25-29	84	5	89
30-34	46	4	50
35-39	35	2	37
40-44	28	0	28
45-49	21	1	22
50-54	4	0	4
55-59	4	0	4
60-64	5	1	6
65-69	1	0	1
Total general	371	26	397
